"","material","dolar","aco","ipca","amostragem","result"
"37",-0.213922199424523,-0.619113096677514,-0.573076997897981,-0.184832899642105,1,-0.197068102967485
"38",-0.215251843680358,-0.593330230681776,-0.5482571451071,-0.169974123171142,1,-0.225361104537294
"39",-0.31630480712377,-0.584735942016531,-0.578212139854716,-0.161677972974854,2,-0.330694921573388
"40",-0.409379905032176,-0.524575921359811,-0.536275147208054,-0.14310450238615,1,-0.421830206944165
"41",-0.292371210518751,-0.447227323372599,-0.560239143006146,-0.156848870621791,1,-0.292359287934727
"42",-0.288382277751248,-0.524575921359811,-0.614158133551854,-0.14248538669986,2,-0.441232899457459
"43",-0.180681093028664,-0.576141653351285,-0.654383412212938,-0.131093658072121,2,-0.495651982307639
"44",-0.341568047984623,-0.593330230681776,-0.582491424818661,-0.121559276503253,2,-0.415225835215184
"45",-0.487828916126404,-0.541764498690302,-0.526860720287375,-0.0961755333653574,1,-0.474916314409435
"46",-0.622122985965677,-0.481604478033582,-0.525149006301797,-0.0793355866982664,1,-0.626751862745519
"47",-0.606167254895664,-0.455821612037845,-0.515734579381117,-0.0525897890505321,2,-0.600906170812429
"48",-0.332260538193783,-0.524575921359811,-0.528572434272953,-0.0350069035598925,2,-0.628402376969913
"49",-0.523729311033933,-0.498793055364073,-0.381365031513242,-0.0154428478731241,1,-0.507116439374858
"50",-0.306997297332929,-0.464415900703091,-0.387356030462765,-0.00987080669651286,1,-0.328500144196818
"51",-0.251152238587886,-0.352690148054896,-0.407896598289701,0.00350209212735427,1,-0.242656265455406
"52",-0.322953028402942,-0.155021508754244,-0.389923601441132,0.0281428964417012,1,-0.316179528935198
"53",-0.308326941588764,-0.0432957561060494,-0.401049742347389,0.105903826639742,1,-0.303942761471004
"54",-0.261789392634561,0.00826997588542502,-0.340283895859369,0.126458467424575,1,-0.270334342211515
"55",0.13045566283658,0.0942128625378824,-0.306905473140597,0.120886426247964,1,0.133815960989208
"56",0.190289654349127,0.257504347177551,-0.212761203933805,0.150851625464406,1,0.215183584987131
