"","Index","date","material","dolar","aco","ipca","amostragem","result"
"86","43","2021-03-01","36.02","5.65","353.9","5674.7","1","36.02959"
"87","43","2021-04-01","36.32","5.56","393.3","5692.3","1","36.33195"
"88","43","2021-05-01","36.88","5.29","428.1","5739.6","1","36.88973"
"89","43","2021-06-01","37.93","5.03","453.2","5770.0","1","37.94418"
"90","43","2021-07-01","39.01","5.16","427.7","5825.4","1","39.05459"
"91","43","2021-08-01","40.86","5.25","473.4","5876.1","2","40.05186"
"92","43","2021-09-01","40.98","5.28","477.0","5944.2","1","40.15857"
"93","43","2021-10-01","41.46","5.54","478.5","6018.5","1","41.44632"
"94","43","2021-11-01","43.33","5.56","443.3","6075.7","1","43.24001"
"95","43","2021-12-01","42.84","5.65","435.1","6120.0","2","42.15079"
"96","43","2022-01-01","42.28","5.53","430.5","6153.1","1","42.26289"
"97","43","2022-02-01","42.64","5.20","417.5","6215.2","1","42.72894"
"98","43","2022-03-01","40.62","4.97","415.1","6315.9","1","40.70131"
"99","43","2022-04-01","39.99","4.76","435.0","6382.9","1","40.25376"
"100","43","2022-05-01","39.71","4.96","456.5","6412.9","2","40.26495"
"101","43","2022-06-01","39.62","5.05","447.2","6455.9","1","40.08520"
"102","43","2022-07-01","39.59","5.37","427.5","6412.0","1","39.52782"
"103","43","2022-08-01","41.41","5.14","424.9","6388.9","1","41.38047"
"104","43","2022-09-01","39.66","5.24","421.7","6370.3","1","39.76860"
"105","43","2022-10-01","39.32","5.25","413.9","6407.9","1","39.31424"
"106","43","2022-11-01","39.70","5.27","411.6","6434.2","2","38.84158"
