date_00,aco_00,dolar_00,ipca_00,material,Index
"2016-10-01,""127,6"",""3,19"",""4752,9"",""25,52"",Filter"
"2016-09-01,""128,2"",""3,26"",""4740,5"",""25,88"",Filter"
"2016-08-01,""126,4"",""3,21"",""4736,7"",""26,62"",Filter"
"2016-07-01,""124,6"",""3,28"",""4716,0"",""26,91"",Filter"
"2016-06-01,""118,7"",""3,42"",""4691,6"",""27,01"",Filter"
"2016-05-01,""112,2"",""3,54"",""4675,2"",""27,44"",Filter"
"2016-04-01,""104,6"",""3,57"",""4639,1"",""28,78"",Filter"
"2016-03-01,""108,3"",""3,70"",""4610,9"",""28,84"",Filter"
"2016-02-01,""108,5"",""3,97"",""4591,2"",""28,74"",Filter"
"2016-01-01,""108,8"",""4,05"",""4550,2"",""28,12"",Filter"
"2015-12-01,""112,4"",""3,87"",""4493,2"",""27,38"",Filter"
"2015-11-01,""114,8"",""3,78"",""4450,5"",""27,18"",Filter"
"2015-10-01,""113,3"",""3,88"",""4406,0"",""26,54"",Filter"
"2015-09-01,""117,6"",""3,91"",""4370,1"",""25,19"",Filter"
"2015-08-01,""119,3"",""3,51"",""4346,7"",""23,70"",Filter"
"2015-07-01,""119,3"",""3,22"",""4337,1"",""22,54"",Filter"
"2015-06-01,""123,2"",""3,11"",""4310,4"",""22,63"",Filter"
"2015-05-01,""123,0"",""3,06"",""4276,6"",""22,00"",Filter"
"2015-04-01,""123,7"",""3,04"",""4245,2"",""21,41"",Filter"
"2015-03-01,""124,0"",""3,14"",""4215,3"",""21,73"",Filter"
"2015-02-01,""124,6"",""2,82"",""4160,3"",""20,86"",Filter"
"2015-01-01,""124,8"",""2,63"",""4110,2"",""20,14"",Filter"
"2014-12-01,""126,3"",""2,64"",""4059,9"",""19,69"",Filter"
"2014-11-01,""126,8"",""2,55"",""4028,4"",""19,60"",Filter"
"2014-10-01,""126,8"",""2,45"",""4008,0"",""19,17"",Filter"
"2014-09-01,""126,1"",""2,33"",""3991,2"",""18,92"",Filter"
"2014-08-01,""120,6"",""2,27"",""3968,6"",""18,92"",Filter"
"2014-07-01,""126,6"",""2,22"",""3958,7"",""18,90"",Filter"
"2014-06-01,""126,7"",""2,24"",""3958,3"",""19,57"",Filter"
"2014-05-01,""125,9"",""2,22"",""3942,6"",""19,87"",Filter"
"2014-04-01,""124,7"",""2,23"",""3924,5"",""19,57"",Filter"
"2014-03-01,""125,3"",""2,33"",""3898,4"",""19,51"",Filter"
"2014-02-01,""125,5"",""2,38"",""3862,8"",""19,18"",Filter"
"2014-01-01,""120,9"",""2,38"",""3836,4"",""18,92"",Filter"
"2013-12-01,""117,0"",""2,35"",""3815,4"",""18,58"",Filter"
"2013-11-01,""117,4"",""2,30"",""3780,6"",""18,40"",Filter"
"2013-10-01,""117,5"",""2,19"",""3760,3"",""18,11"",Filter"
"2013-09-01,""117,1"",""2,27"",""3739,0"",""18,41"",Filter"
"2013-08-01,""115,7"",""2,34"",""3726,0"",""17,97"",Filter"
"2013-07-01,""113,6"",""2,25"",""3717,0"",""17,33"",Filter"
"2013-06-01,""113,6"",""2,17"",""3715,9"",""16,98"",Filter"
"2013-05-01,""113,6"",""2,03"",""3706,3"",""16,84"",Filter"
"2013-04-01,""113,5"",""2,00"",""3692,6"",""16,76"",Filter"
"2013-03-01,""110,6"",""1,98"",""3672,4"",""17,15"",Filter"
"2013-02-01,""109,1"",""1,97"",""3655,2"",""17,82"",Filter"
"2013-01-01,""107,5"",""2,03"",""3633,4"",""17,72"",Filter"
